
> ultra-svet@0.1.0 parse
> node scripts/parse.mjs

Importing products from https://ultra-svet.com
limit=1000, delay=500ms, concurrency=3, output=products.json
existing=1000, target=1000
scan 882 products, queue 4000: /blok-nakladnij-vimikach-rozetka-z-zazem-krishka-bilij-lemanso-magnolija-lmr2013-39733-httpsexamplecomukproduct
scan 883 products, queue 4000: /blok-nakladnij-vimikach-2-rozetki-s-zazem-krishki-bilij-lemanso-magnolija-lmr2015-39732-httpsexamplecomukproduct?page=3
scan 886 products, queue 4000: /blok-nakladnij-vimikach-rozetka-z-zazem-krishka-bilij-lemanso-magnolija-lmr2013-39733-httpsexamplecomukproduct?page=2
scan 890 products, queue 3999: /vilka-dlya-elektroplit-odnofaznaya-sz-belaya-lemanso-lma314
scan 890 products, queue 4000: /blok-nakladnij-vimikach-rozetka-z-zazem-krishka-bilij-lemanso-magnolija-lmr2013-39733-httpsexamplecomukproduct?page=3
scan 895 products, queue 3998: /vilka-dlya-elektroplit-odnofaznaya-sz-belaya-lemanso-lma314?page=2
scan 904 products, queue 4000: /elektrofurnitura/?page=2
scan 905 products, queue 3994: /vilka-dlya-elektroplit-odnofaznaya-sz-belaya-lemanso-lma314?page=3
scan 907 products, queue 4000: /elektrofurnitura/?page=3
scan 920 products, queue 4000: /elektrofurnitura/?page=4
scan 921 products, queue 4000: /elektrofurnitura/?page=5
scan 934 products, queue 4000: /elektrofurnitura/?page=6
scan 943 products, queue 4000: /elektrofurnitura/?page=7
scan 968 products, queue 4000: /elektrofurnitura/?page=8
scan 999 products, queue 4000: /elektrofurnitura/?page=9
scan 1000 products, queue 3986: /elektrofurnitura/?page=40
scan 1003 products, queue 3985: /iakyi-kabel-obraty-vvh-pvs-shvvp-chy-pv-3-povne-porivniannia-httpsexamplecomukproduct
scan 1003 products, queue 3984: /iakyi-kabel-obraty-vvh-pvs-shvvp-chy-pv-3-povne-porivniannia-httpsexamplecomukproduct?page=2
scan 1003 products, queue 3984: /provid-pv-3-hnuchkyi-midnyi-provid-dlia-elektroshchytiv-ta-montazhu-httpsexamplecomukproduct
scan 1003 products, queue 3983: /iakyi-kabel-obraty-vvh-pvs-shvvp-chy-pv-3-povne-porivniannia-httpsexamplecomukproduct?page=3
scan 1003 products, queue 3981: /kabel-vvh-kharakterystyky-vydy-ta-iak-obraty-dlia-elektroprovodky-httpsexamplecomukproduct
scan 1003 products, queue 3981: /provid-pv-3-hnuchkyi-midnyi-provid-dlia-elektroshchytiv-ta-montazhu-httpsexamplecomukproduct?page=2
scan 1003 products, queue 3980: /provid-pv-3-hnuchkyi-midnyi-provid-dlia-elektroshchytiv-ta-montazhu-httpsexamplecomukproduct?page=3
scan 1003 products, queue 3993: /lampa-svetodiodnaya-a60-12w-e27-840lm-4000k-220-240v-lemanso-lm260
scan 1003 products, queue 3992: /kabel-vvh-kharakterystyky-vydy-ta-iak-obraty-dlia-elektroprovodky-httpsexamplecomukproduct?page=2
scan 1003 products, queue 3992: /kabel-vvh-kharakterystyky-vydy-ta-iak-obraty-dlia-elektroprovodky-httpsexamplecomukproduct?page=3
scan 1003 products, queue 4000: /lampa-svetodiodnaya-a60-12w-e27-840lm-4000k-220-240v-lemanso-lm260?page=2
scan 1006 products, queue 4000: /provod-shvvp-2h1-5-odessa-gost-sinyaya-birka
scan 1006 products, queue 4000: /lampa-svetodiodnaya-a60-12w-e27-840lm-4000k-220-240v-lemanso-lm260?page=3
scan 1008 products, queue 4000: /provod-shvvp-2h1-5-odessa-gost-sinyaya-birka?page=2
scan 1009 products, queue 4000: /internet-kabel-ftp-4h2h051-cca-naruzhnyy-montazh-electro-house-ehlan-24
scan 1011 products, queue 4000: /provod-shvvp-2h1-5-odessa-gost-sinyaya-birka?page=3
scan 1011 products, queue 4000: /internet-kabel-ftp-4h2h051-cca-naruzhnyy-montazh-electro-house-ehlan-24?page=2
scan 1011 products, queue 4000: /internet-kabel-ftp-4h2h051-cca-pvh-seryy-electro-house-ehlan-22
scan 1011 products, queue 4000: /internet-kabel-ftp-4h2h051-cca-naruzhnyy-montazh-electro-house-ehlan-24?page=3
scan 1011 products, queue 4000: /internet-kabel-ftp-4h2h051-cca-pvh-seryy-electro-house-ehlan-22?page=2
scan 1011 products, queue 4000: /internet-kabel-ftp-4h2h051-cu-naruzhnyy-montazh-electro-house-ehlan-30
scan 1011 products, queue 4000: /internet-kabel-ftp-4h2h051-cca-pvh-seryy-electro-house-ehlan-22?page=3
scan 1011 products, queue 4000: /internet-kabel-ftp-4h2h051-cu-naruzhnyy-montazh-electro-house-ehlan-30?page=2
scan 1011 products, queue 4000: /internet-kabel-ftp-4h2h051-cu-pvh-seryy-electro-house-ehlan-28
scan 1011 products, queue 4000: /internet-kabel-ftp-4h2h051-cu-naruzhnyy-montazh-electro-house-ehlan-30?page=3
scan 1011 products, queue 4000: /internet-kabel-ftp-4h2h051-cu-pvh-seryy-electro-house-ehlan-28?page=2
scan 1011 products, queue 4000: /internet-kabel-utp-4h2h051-cca-naruzhnyy-montazh-electro-house-ehlan-23
scan 1011 products, queue 4000: /internet-kabel-ftp-4h2h051-cu-pvh-seryy-electro-house-ehlan-28?page=3
scan 1011 products, queue 4000: /internet-kabel-utp-4h2h051-cca-pvh-seryy-electro-house-ehlan-21
scan 1011 products, queue 4000: /internet-kabel-utp-4h2h051-cca-naruzhnyy-montazh-electro-house-ehlan-23?page=2
scan 1011 products, queue 4000: /internet-kabel-utp-4h2h051-cca-naruzhnyy-montazh-electro-house-ehlan-23?page=3
scan 1011 products, queue 4000: /internet-kabel-utp-4h2h051-cca-pvh-seryy-electro-house-ehlan-21?page=3
scan 1011 products, queue 4000: /internet-kabel-utp-4h2h051-cca-pvh-seryy-electro-house-ehlan-21?page=2
scan 1015 products, queue 4000: /kabel-vvgng-ls-3kh1-5-1kv-gal-kat-gost
scan 1016 products, queue 4000: /kabel-vvgng-ls-3kh2-5-1kv-gal-kat-gost
